Job Title,Required Years of Experience,Skills,Education Requirements
Software Engineer,3,python java javascript git agil sql,bachelor comput scienc relat field
Data Analyst,2,excel sql python tableau power bi statist,bachelor mathemat statist busi analyt
Marketing Manager,5,digit market seo sem googl analyt content strategi,bachelor market commun
Registered Nurse,1,patient care medic terminolog iv administr emr system,bachelor nurs rn licens
Accountant,3,quickbook excel gaap tax prepar financi report,bachelor account cpa prefer
Human Resources Specialist,2,recruit hri employe relat benefit administr,bachelor human resourc busi
Graphic Designer,2,adob photoshop illustr indesign typographi brand,bachelor graphic design fine art
Project Manager,5,pmp agil scrum risk manag stakehold manag,bachelor busi relat field pmp certif
Sales Representative,1,crm softwar cold call negoti lead gener,bachelor busi equival experi
Mechanical Engineer,4,autocad solidwork fea thermodynam manufactur,bachelor mechan engin
Teacher Elementary,0,classroom manag curriculum develop child psycholog,bachelor educ teach licens requir
Web Developer,2,html css javascript react nodej respons design,bachelor comput scienc relev experi
Financial Analyst,3,excel financi model forecast bloomberg termin,bachelor financ econom
Chef,5,food safeti culinari techniqu menu plan inventori manag,culinari degre equival experi
Civil Engineer,4,autocad civil d project manag structur analysi,bachelor civil engin pe licens prefer
Content Writer,2,seo copywrit cm wordpress research skill,bachelor english journal commun
Business Analyst,3,sql requir gather process map visio,bachelor busi inform system
Electrician,3,electr code nec troubleshoot blueprint read,trade school certif electrician licens
Physical Therapist,1,patient assess therapeut exercis manual therapi,doctor physic therapi state licens
UXUI Designer,3,figma sketch user research wirefram prototyp,bachelor design relat field
Database Administrator,4,sql oracl mysql databas secur backup recoveri,bachelor comput scienc inform technolog
Operations Manager,6,lean six sigma suppli chain logist erp system,bachelor busi oper engin
Legal Secretary,2,legal terminolog transcript court file case manag,associ degre legal certif
DevOps Engineer,4,docker kubernet aw cicd jenkin linux,bachelor comput scienc relat field
Social Media Manager,2,social media platform analyt content creation hootsuit,bachelor market commun
Construction Manager,7,project schedul budget osha safeti build code,bachelor construct manag engin
Pharmacy Technician,1,pharmaci math drug inform inventori manag,pharmaci technician certif
Network Administrator,3,cisco tcpip firewal vpn network secur,bachelor inform technolog relev certif
Executive Assistant,4,calendar manag travel coordin ms offic commun,bachelor degre prefer
Mobile App Developer,3,swift kotlin react nativ io android,bachelor comput scienc relat field
Quality Assurance Engineer,2,test autom selenium jira agil test,bachelor comput scienc relat field
Event Planner,3,budget manag vendor negoti event coordin,bachelor hospit event manag
Technical Writer,2,document api document markdown version control,bachelor english technic commun
Dentist,2,dental procedur radiographi patient care dental softwar,doctor dental surgeri state licens
Supply Chain Analyst,3,erp sap inventori manag forecast excel,bachelor suppli chain busi
Paramedic,2,emerg medicin patient assess iv therapi emr,paramed certif state licens
Product Manager,5,roadmap plan agil user stori market research,bachelor busi comput scienc mba prefer
Veterinarian,1,anim medicin surgeri diagnost client commun,doctor veterinari medicin state licens
Cybersecurity Analyst,3,network secur penetr test siem incid respons,bachelor cybersecur inform technolog
Real Estate Agent,1,properti list market analysi negoti crm,real estat licens
Research Scientist,4,data analysi laboratori techniqu research design statist,phd relev scientif field
Interior Designer,3,autocad sketchup space plan color theori,bachelor interior design
Insurance Agent,2,sale risk assess polici knowledg underwrit,bachelor degre state licens requir
Logistics Coordinator,2,suppli chain transport manag warehous oper,bachelor logist busi
Architect,5,revit autocad build code design principl,bachelor architectur state licens
Occupational Therapist,1,patient evalu adapt equip treatment plan,master occup therapi state licens
SEO Specialist,2,googl analyt keyword research link build technic seo,bachelor market relat field
Video Editor,2,adob premier final cut pro after effect storytel,bachelor film media product
Investment Banker,3,financi model valuat ma excel bloomberg,bachelor financ mba prefer
Flight Attendant,0,custom servic safeti procedur first aid commun,high school diploma train provid
Chemical Engineer,4,process design chemcad hazop materi scienc,bachelor chemic engin
Radiologic Technologist,1,xray ct mri radiat safeti pac,associ degre arrt certif
Brand Manager,5,brand strategi market research consum insight analyt,bachelor market mba prefer
Security Guard,0,surveil first aid conflict resolut,high school diploma secur licens
IT Support Specialist,1,help desk troubleshoot window activ directori,associ it relev certif
Biomedical Engineer,3,medic devic cad regulatori complianc fda,bachelor biomed engin
Speech Therapist,2,speech assess therapi techniqu aac devic,master speech languag patholog state licens
Customer Success Manager,3,crm account manag custom retent saa,bachelor busi relat field
Welder,2,mig tig arc weld blueprint read metal fabric,trade school certif weld certif
Environmental Scientist,3,environment law data collect gi lab analysi,bachelor environment scienc relat field
Copywriter,2,creativ write brand voic seo ad copi,bachelor english market commun
Air Traffic Controller,0,spatial awar decis make atc system,faa train program
Retail Manager,4,inventori manag po system team leadership custom servic,bachelor busi equival experi
Pilot Commercial,5,flight plan navig weather analysi,commerci pilot licens flight hour
Information Security Manager,7,secur framework cissp risk manag complianc,bachelor cybersecur cissp relat certif
Massage Therapist,1,anatomi swedish deep tissu trigger point,massag therapi certif state licens
Cloud Architect,6,aw azur googl cloud infrastructur design,bachelor comput scienc cloud certif
Recruitment Consultant,2,talent acquisit interview at salari negoti,bachelor human resourc busi
Medical Coder,1,icd cpt hcpc medic terminolog,code certif cpc cc
Sports Coach,3,train program athlet develop team manag,bachelor sport scienc kinesiolog
Blockchain Developer,3,solid ethereum smart contract web cryptographi,bachelor comput scienc
Art Director,6,creativ direct adob suit brand campaign manag,bachelor fine art graphic design
Tax Consultant,4,tax law tax softwar audit prepar cpa,bachelor account cpa licens
Automation Engineer,4,plc scada robot industri control system,bachelor electr mechan engin
Interpreter,2,fluenci translat cultur compet consecut interpret,bachelor degre certif target languag
Laboratory Technician,1,lab equip specimen process qualiti control safeti,associ clinic laboratori scienc
Procurement Specialist,3,contract negoti vendor manag sap purchas,bachelor busi suppli chain
Sound Engineer,3,pro tool audio mix acoust live sound,bachelor audio engin relat field
Compliance Officer,5,regulatori complianc audit risk assess polici,bachelor busi law financ
Food Scientist,3,food safeti product develop sensori analysi chemistri,bachelor food scienc relat field
UX Researcher,3,user test qualit research persona develop,bachelor psycholog hci
Actuary,2,statist analysi risk model excel vba,bachelor actuari scienc actuari exam
Forensic Scientist,2,laboratori analysi evid collect crime scene investig,bachelor forens scienc chemistri
Industrial Designer,3,cad d model prototyp manufactur process,bachelor industri design
Technical Support Engineer,2,linux network problem solv custom servic,bachelor comput scienc it
Solar Installation Technician,1,electr system roof safeti solar panel instal,trade school certif solar instal
Machine Learning Engineer,4,python tensorflow deep learn neural network,bachelor comput scienc statist
Respiratory Therapist,1,ventil manag pulmonari function test patient care,associ degre state licens
Change Management Consultant,5,organiz develop stakehold engag prosci,bachelor busi relat field
Wildlife Biologist,3,field research anim behavior data analysi gi,bachelor biolog wildlif manag
Fashion Designer,4,sketch pattern make textil fashion trend,bachelor fashion design
Mortgage Broker,2,loan process financi analysi underwrit,bachelor financ mortgag licens
Systems Administrator,4,window server linux vmware activ directori,bachelor inform technolog
Epidemiologist,3,diseas surveil statist analysi public health research,master public health epidemiolog
Court Reporter,1,stenographi transcript legal terminolog,certif court report state licens
Hydrologist,3,water resourc gi model environment scienc,bachelor hydrolog environment scienc
Sustainability Consultant,4,carbon footprint leed environment regul report,bachelor environment scienc relat field
