Job Title,Required Years of Experience,Skills,Education Requirements
Software Engineer,3,Python Java JavaScript Git Agile SQL,Bachelor's in Computer Science or related field
Data Analyst,2,Excel SQL Python Tableau Power BI Statistics,Bachelor's in Mathematics Statistics or Business Analytics
Marketing Manager,5,Digital Marketing SEO SEM Google Analytics Content Strategy,Bachelor's in Marketing or Communications
Registered Nurse,1,Patient Care Medical Terminology IV Administration EMR Systems,Bachelor's in Nursing and RN License
Accountant,3,QuickBooks Excel GAAP Tax Preparation Financial Reporting,Bachelor's in Accounting CPA preferred
Human Resources Specialist,2,Recruitment HRIS Employee Relations Benefits Administration,Bachelor's in Human Resources or Business
Graphic Designer,2,Adobe Photoshop Illustrator InDesign Typography Branding,Bachelor's in Graphic Design or Fine Arts
Project Manager,5,PMP Agile Scrum Risk Management Stakeholder Management,Bachelor's in Business or related field PMP certification
Sales Representative,1,CRM Software Cold Calling Negotiation Lead Generation,Bachelor's in Business or equivalent experience
Mechanical Engineer,4,AutoCAD SolidWorks FEA Thermodynamics Manufacturing,Bachelor's in Mechanical Engineering
Teacher Elementary,0,Classroom Management Curriculum Development Child Psychology,Bachelor's in Education Teaching License required
Web Developer,2,HTML CSS JavaScript React Node.js Responsive Design,Bachelor's in Computer Science or relevant experience
Financial Analyst,3,Excel Financial Modeling Forecasting Bloomberg Terminal,Bachelor's in Finance or Economics
Chef,5,Food Safety Culinary Techniques Menu Planning Inventory Management,Culinary Degree or equivalent experience
Civil Engineer,4,AutoCAD Civil 3D Project Management Structural Analysis,Bachelor's in Civil Engineering PE License preferred
Content Writer,2,SEO Copywriting CMS WordPress Research Skills,Bachelor's in English Journalism or Communications
Business Analyst,3,SQL Requirements Gathering Process Mapping Visio,Bachelor's in Business or Information Systems
Electrician,3,Electrical Code NEC Troubleshooting Blueprint Reading,Trade School Certificate Electrician License
Physical Therapist,1,Patient Assessment Therapeutic Exercise Manual Therapy,Doctorate in Physical Therapy State License
UX/UI Designer,3,Figma Sketch User Research Wireframing Prototyping,Bachelor's in Design or related field
Database Administrator,4,SQL Oracle MySQL Database Security Backup Recovery,Bachelor's in Computer Science or Information Technology
Operations Manager,6,Lean Six Sigma Supply Chain Logistics ERP Systems,Bachelor's in Business Operations or Engineering
Legal Secretary,2,Legal Terminology Transcription Court Filing Case Management,Associate's Degree or Legal Certificate
DevOps Engineer,4,Docker Kubernetes AWS CI/CD Jenkins Linux,Bachelor's in Computer Science or related field
Social Media Manager,2,Social Media Platforms Analytics Content Creation Hootsuite,Bachelor's in Marketing or Communications
Construction Manager,7,Project Scheduling Budgeting OSHA Safety Building Codes,Bachelor's in Construction Management or Engineering
Pharmacy Technician,1,Pharmacy Math Drug Information Inventory Management,Pharmacy Technician Certification
Network Administrator,3,Cisco TCP/IP Firewalls VPN Network Security,Bachelor's in Information Technology or relevant certifications
Executive Assistant,4,Calendar Management Travel Coordination MS Office Communication,Bachelor's Degree preferred
Mobile App Developer,3,Swift Kotlin React Native iOS Android,Bachelor's in Computer Science or related field
Quality Assurance Engineer,2,Test Automation Selenium JIRA Agile Testing,Bachelor's in Computer Science or related field
Event Planner,3,Budget Management Vendor Negotiation Event Coordination,Bachelor's in Hospitality or Event Management
Technical Writer,2,Documentation API Documentation Markdown Version Control,Bachelor's in English or Technical Communication
Dentist,2,Dental Procedures Radiography Patient Care Dental Software,Doctor of Dental Surgery State License
Supply Chain Analyst,3,ERP SAP Inventory Management Forecasting Excel,Bachelor's in Supply Chain or Business
Paramedic,2,Emergency Medicine Patient Assessment IV Therapy EMR,Paramedic Certification State License
Product Manager,5,Roadmap Planning Agile User Stories Market Research,Bachelor's in Business or Computer Science MBA preferred
Veterinarian,1,Animal Medicine Surgery Diagnostics Client Communication,Doctor of Veterinary Medicine State License
Cybersecurity Analyst,3,Network Security Penetration Testing SIEM Incident Response,Bachelor's in Cybersecurity or Information Technology
Real Estate Agent,1,Property Listing Market Analysis Negotiation CRM,Real Estate License
Research Scientist,4,Data Analysis Laboratory Techniques Research Design Statistics,PhD in relevant scientific field
